Karmn tess
J14191-073 6095802
J14194+029 446426231
J14200+390 27415380
J14201-096 471012479
J14210+275 156640148
J14212-011 287849681
J14215-079 6122667
J14219+376 ...
J14227+164 450349862
J14231-222 422529332
J14249+088 471011867
J14251+518 441709023
J14255-118 6236083
J14257+236E 298434278
J14257+236W 298434280
J14259+142 171774486
J14269+241 310095510
J14279-003N 287975570
J14279-003S 287975572
J14280+139 141286665
J14282+053 402202943
J14283+053 402202947
J14294+155 450352108
J14299+295 157904829
J14306+597 154383758
J14307-086 ...
J14310-122 ...
J14312+754 156491690
J14320+738 156464839
J14321+081 349568452
J14321+160 72636078
J14322+496 357372071
J14331+610 232977967
J14342-125 294401924
J14366+143 72650392
